Date,Time,Max
03/16/2023,01:00:00,66
03/16/2023,03:00:00,64
03/16/2023,05:00:00,64
03/16/2023,07:00:00,65
03/16/2023,09:00:00,65
03/16/2023,11:00:00,65
03/16/2023,01:00:00,65
03/16/2023,03:00:00,66
03/16/2023,05:00:00,65
03/16/2023,07:00:00,65
03/16/2023,09:00:00,65
03/16/2023,11:00:00,65
03/17/2023,01:00:00,66
03/17/2023,03:00:00,70
03/17/2023,05:00:00,65
03/17/2023,07:00:00,65
03/17/2023,09:00:00,65
03/17/2023,11:00:00,66
03/17/2023,01:00:00,65
03/17/2023,03:00:00,66
03/17/2023,05:00:00,66
03/17/2023,07:00:00,66
03/17/2023,09:00:00,65
03/17/2023,11:00:00,66
03/18/2023,01:00:00,68
03/18/2023,03:00:00,67
03/18/2023,05:00:00,65
03/18/2023,07:00:00,65
03/18/2023,09:00:00,65
03/18/2023,11:00:00,66
03/18/2023,01:00:00,66
03/18/2023,03:00:00,66
03/18/2023,05:00:00,66
03/18/2023,07:00:00,66
03/18/2023,09:00:00,65
03/18/2023,11:00:00,66
03/19/2023,01:00:00,66
03/19/2023,03:00:00,65
03/19/2023,05:00:00,66
03/19/2023,07:00:00,66
03/19/2023,09:00:00,66
03/19/2023,11:00:00,66
03/19/2023,01:00:00,67
03/19/2023,03:00:00,66
03/19/2023,05:00:00,66
03/19/2023,07:00:00,66
03/19/2023,09:00:00,66
03/19/2023,11:00:00,66
03/20/2023,01:00:00,67
03/20/2023,03:00:00,66
03/20/2023,05:00:00,65
03/20/2023,07:00:00,66
03/20/2023,09:00:00,66
03/20/2023,11:00:00,67
03/20/2023,01:00:00,66
03/20/2023,03:00:00,67
03/20/2023,05:00:00,70
03/20/2023,07:00:00,67
03/20/2023,09:00:00,66
03/20/2023,11:00:00,66
03/21/2023,01:00:00,67
03/21/2023,03:00:00,67
03/21/2023,05:00:00,66
03/21/2023,07:00:00,66
03/21/2023,09:00:00,66
03/21/2023,11:00:00,66
03/21/2023,01:00:00,66
03/21/2023,03:00:00,67
03/21/2023,05:00:00,66
03/21/2023,07:00:00,66
03/21/2023,09:00:00,66
03/21/2023,11:00:00,66
03/22/2023,01:00:00,66
03/22/2023,03:00:00,65
03/22/2023,05:00:00,65
03/22/2023,07:00:00,66
03/22/2023,09:00:00,66
03/22/2023,11:00:00,66
03/22/2023,01:00:00,66
03/22/2023,03:00:00,66
03/22/2023,05:00:00,66
03/22/2023,07:00:00,66
03/22/2023,09:00:00,66
03/22/2023,11:00:00,66
03/23/2023,01:00:00,66
03/23/2023,03:00:00,66
03/23/2023,05:00:00,66
03/23/2023,07:00:00,66
03/23/2023,09:00:00,66
03/23/2023,11:00:00,66
03/23/2023,01:00:00,66
03/23/2023,03:00:00,66
03/23/2023,05:00:00,67
03/23/2023,07:00:00,66
03/23/2023,09:00:00,66
03/23/2023,11:00:00,67
03/24/2023,01:00:00,66
03/24/2023,03:00:00,70
03/24/2023,05:00:00,65
03/24/2023,07:00:00,66
03/24/2023,09:00:00,67
03/24/2023,11:00:00,67
03/24/2023,01:00:00,66
03/24/2023,03:00:00,66
03/24/2023,05:00:00,66
03/24/2023,07:00:00,66
03/24/2023,09:00:00,65
03/24/2023,11:00:00,68
03/25/2023,01:00:00,66
03/25/2023,03:00:00,65
03/25/2023,05:00:00,65
03/25/2023,07:00:00,65
03/25/2023,09:00:00,65
03/25/2023,11:00:00,65
03/25/2023,01:00:00,65
03/25/2023,03:00:00,65
03/25/2023,05:00:00,65
03/25/2023,07:00:00,66
03/25/2023,09:00:00,65
03/25/2023,11:00:00,66
03/26/2023,01:00:00,66
03/26/2023,03:00:00,65
03/26/2023,05:00:00,65
03/26/2023,07:00:00,65
03/26/2023,09:00:00,65
03/26/2023,11:00:00,65
03/26/2023,01:00:00,66
03/26/2023,03:00:00,66
03/26/2023,05:00:00,66
03/26/2023,07:00:00,66
03/26/2023,09:00:00,65
03/26/2023,11:00:00,66
03/27/2023,01:00:00,65
03/27/2023,03:00:00,65
03/27/2023,05:00:00,65
03/27/2023,07:00:00,66
03/27/2023,09:00:00,66
03/27/2023,11:00:00,66
03/27/2023,01:00:00,66
03/27/2023,03:00:00,66
03/27/2023,05:00:00,66
03/27/2023,07:00:00,66
03/27/2023,09:00:00,66
03/27/2023,11:00:00,66
03/28/2023,01:00:00,65
03/28/2023,03:00:00,66
03/28/2023,05:00:00,65
03/28/2023,07:00:00,66
03/28/2023,09:00:00,67
03/28/2023,11:00:00,66
03/28/2023,01:00:00,66
03/28/2023,03:00:00,66
03/28/2023,05:00:00,66
03/28/2023,07:00:00,66
03/28/2023,09:00:00,66
03/28/2023,11:00:00,66
03/29/2023,01:00:00,65
03/29/2023,03:00:00,66
03/29/2023,05:00:00,65
03/29/2023,07:00:00,66
03/29/2023,09:00:00,66
03/29/2023,11:00:00,67
03/29/2023,01:00:00,66
03/29/2023,03:00:00,66
03/29/2023,05:00:00,67
03/29/2023,07:00:00,66
03/29/2023,09:00:00,66
03/29/2023,11:00:00,66
03/30/2023,01:00:00,66
03/30/2023,03:00:00,66
03/30/2023,05:00:00,67
03/30/2023,07:00:00,66
03/30/2023,09:00:00,67
03/30/2023,11:00:00,66
03/30/2023,01:00:00,66
03/30/2023,03:00:00,66
03/30/2023,05:00:00,66
03/30/2023,07:00:00,66
03/30/2023,09:00:00,66
03/30/2023,11:00:00,66
03/31/2023,01:00:00,66
03/31/2023,03:00:00,71
03/31/2023,05:00:00,66
03/31/2023,07:00:00,66
03/31/2023,09:00:00,66
03/31/2023,11:00:00,66
03/31/2023,01:00:00,66
03/31/2023,03:00:00,66
03/31/2023,05:00:00,66
03/31/2023,07:00:00,66
03/31/2023,09:00:00,65
03/31/2023,11:00:00,66
04/01/2023,01:00:00,66
04/01/2023,03:00:00,66
04/01/2023,05:00:00,66
04/01/2023,07:00:00,66
04/01/2023,09:00:00,66
